Italiano,Romanji,Katana,Libro,Lezione,Tag,Altro...
Buongiorno,Ohayou gozaimasu,,Speciale,S1,Saluto,
Buon pomeriggio,Konnichiwa,,Speciale,S1,Saluto,
Buonasera,Konbanwa,,Speciale,S1,Saluto,
Buonanotte,Oyasuminasai,,Speciale,S1,Saluto,
Arrivederci/Addio,Sayounara,,Speciale,S1,Saluto,
Arrivederci (informale),Dewa mata,,Speciale,S1,Saluto,
A domani,Mata ashita,,Speciale,S1,Saluto,
Piacere lieto di conoscerla,Hajimemashite douzo yoroshiku onegai itashimasu,,Speciale,S1,Presentarsi,
Piacere mio,Kochirakoso douzo yoroshiku,,Speciale,S1,Presentarsi,
Auguri,Omedetou,,Speciale,S1,Augurio,
Buon anno,Akemashite omedetou,,Speciale,S1,Augurio,
Come stai?,Ogenki desu ka,,Speciale,S1,Frase,
Sto bene e lei?,Genki desu anata wa,,Speciale,S1,Frase,
Grazie,Arigatou gozaimasu,,Speciale,S1,Frase,
Scusi mi dispiace,Sumimasen,,Speciale,S1,Frase,
Ho capito,Wakarimashita,,Speciale,S1,Frase,
Non capisco,Wakarimasen,,Speciale,S1,Frase,
Occhi,Me,め,A,A1,Corpo,
Mani,Te,て,A,A1,Corpo,
Denti,Ha,は,A,A1,Corpo,
Albero,Ki,き,A,A1,Piante,
Gambe,Ashi,あし,A,A1,Corpo,
Viso,Kao,かお,A,A1,Corpo,
Casa,Ie,いえ,A,A1,Luogo,
Sedia,Isu,いす,A,A1,Oggetti,
Cane,Inu,いぬ,A,A1,Creature,
Gatto,Neko,ねこ,A,A1,Creature,
Bocca,Kuchi,くち,A,A1,Corpo,
Naso,Hana,はな,A,A1,Corpo,
Orecchie,Mimi,みみ,A,A1,Corpo,
Pancia,Hara,はら,A,A1,Corpo,
Ombrello,Kasa,かさ,A,A1,Oggetti,
Scarpe,Kutsu,くつ,A,A1,Abbigliamento,
Girandola,Koma,こま,A,A1,Oggetti,
Bacchette,Hashi,はし,A,A1,Oggetti,
Cavallo,Uma,うま,A,A1,Creature,
Piccione,Hato,はと,A,A1,Creature,
Petto,Mune,むね,A,A2,Corpo,
Ombelico,Heso,へそ,A,A2,Corpo,
Flauto,Fue,ふえ,A,A2,Oggetti,
Libro,Hon,ほん,A,A2,Oggetti,
Vestiti,Fuku,ふく,A,A2,Abbigliamento,
Caco,Kaki,かき,A,A2,Cibo,
Crisantemo,Kiku,きく,A,A2,Piante,
Castagna,Kuri,くり,A,A2,Cibo,
Bambù,Take,たけ,A,A2,Piante,
Caramella,Ame,あめ,A,A2,Cibo,
Sudore,Ase,あせ,A,A2,Corpo,
Osso,Hone,ほね,A,A2,Corpo,
Aquilone,Tako,たこ,A,A2,Oggetti,
Colla,Nori,のり,A,A2,Oggetti,
Pera giapponese,Nashi,なし,A,A2,Cibo,
Fiore,Hana,はな,A,A2,Piante,
Pesca,Momo,もも,A,A2,Cibo,
Giglio,Yuri,ゆり,A,A2,Piante,
Coccodrillo,Wani,わに,A,A2,Creature,
Stagno,Ike,いけ,A,A2,Paesaggio,
Questo,Kore,これ,Speciale,S3,Pronome,Pronome dimostrativo
Codesto,Sore,それ,Speciale,S3,Pronome,Pronome dimostrativo
Quello,Are,あれ,Speciale,S3,Pronome,Pronome dimostrativo
Essere,Desu,です,Speciale,S3,Verbo,
Questo è un libro,Kore wa hon desu,これはほんです,Speciale,S3,Frase,
Questo è un libro,Kore wa hon da,これはほんだ,Speciale,S3,Frase,Informale
Codesto è un libro,Sore wa hon desu,それはほんです,Speciale,S3,Frase,
Quello è un libro,Are wa hon desu,あれはほんです,Speciale,S3,Frase,
Questo non è un libro,Kore wa hon dewa arimasen,これはほんではありません,Speciale,S3,Frase,
Codesto non è un libro,Sore wa hon dewa arimasen,それはほんではありません,Speciale,S3,Frase,
Quello non è un libro,Are wa hon dewa arimasen,あれはほんではありません,Speciale,S3,Frase,
Questi,Korera,これら,Speciale,S3,Pronome,Pronome dimostrativo
Codesti,Sorera,それら,Speciale,S3,Pronome,Pronome dimostrativo
Quelli,Arera,めれら,Speciale,S3,Pronome,Pronome dimostrativo
Questi sono dei libri,Korera wa hon desu,これらはほんです,Speciale,S3,Frase,
Codesti sono dei libri,Sorera wa hon desu,それらはほんです,Speciale,S3,Frase,
Quelli sono dei libri,Arera wa hon desu,あれらはほんです,Speciale,S3,Frase,
Questi non sono dei libri,Korera wa hon dewa arimasen,これらはほんではありません,Speciale,S3,Frase,
Codesti non sono dei libri,Sorera wa hon dewa arimasen,それらはほんではありません,Speciale,S3,Frase,
Quelli non sono dei libri,Arera wa hon dewa arimasen,あれらはほんではありません,Speciale,S3,Frase,
Questa è una sedia,Kore wa isu desu,これはいすです,Speciale,S3,Frase,
Questa non è una sedia,Kore wa isu dewa arimasen,これはいすではありません,Speciale,S3,Frase,
Queste sono delle sedie,Korera wa isu desu,これらはいすです,Speciale,S3,Frase,
Queste non sono delle sedie,Korera wa isu dewa arimasen,これらはいすではありません,Speciale,S3,Frase,
Codesto è un albero,Sore wa ki desu,それはきです,Speciale,S3,Frase,
Codesto non è un albero,Sore wa ki dewa arimasen,それはきではありません,Speciale,S3,Frase,
Codesti sono degli alberi,Sorera wa ki desu,それらはきです,Speciale,S3,Frase,
Codesti non sono degli alberi,Sorera wa ki dewa arimasen,それらはきではありません,Speciale,S3,Frase,
Quella è una casa,Are wa ie desu,あれはいえです,Speciale,S3,Frase,
Quella non è una casa,Are wa ie dewa arimasen,あれはいえではありません,Speciale,S3,Frase,
Quelle sono delle case,Arera wa ie desu,あれらはいえです,Speciale,S3,Frase,
Quelle non sono delle case,Arera wa ie dewa arimasen,あれらはいえではありません,Speciale,S3,Frase,
Questo è un cane,Kore wa inu desu,これはいぬです,Speciale,S3,Frase,
Questo è un ombrello,Kore wa kasa desu,これはかさです,Speciale,S3,Frase,
Questa è una caramella,Kore wa ame desu,これはあめです,Speciale,S3,Frase,
Codesto è un gatto,Sore wa neko desu,それはねこです,Speciale,S3,Frase,
Codesto è un cavallo,Sore wa uma desu,それはうまです,Speciale,S3,Frase,
Codeste sono un paio di scarpe,Sore wa kutsu desu,これはくつです,Speciale,S3,Frase,
Quello è un coccodrillo,Are wa wani desu,あれはわにです,Speciale,S3,Frase,
Quello è un laghetto,Are wa ike desu,あれはいけです,Speciale,S3,Frase,
Quello è un aquilone,Are wa tako desu,あれはたこです,Speciale,S3,Frase,
Questa non è una castagna,Kore wa kuri dewa arimasen,これはくりではありません,Speciale,S3,Frase,
Codesto non è un caco,Sore wa kaki dewa arimasen,それはかきではありません,Speciale,S3,Frase,
Quello non è il bambù,Are wa take dewa arimasen,あれはたけではありません,Speciale,S3,Frase,
"Questo non è un cane, questo è un gatto.",Kore wa inu dewa arimasen. Kore wa neko desu.,これはいぬではありません。これはねこです。,Speciale,S3,Frase,
"Questa non è la bocca, è il naso.",Kore wa kuchi dewa arimasen. Hana desu.,これはくちではありません。はなです。,Speciale,S3,Frase,
"Codesta non è una castagna, codesta è una caramella.",Sore wa kuri dewa arimasen. Sore wa ame desu.,それはくりではありません。それはあめです。,Speciale,S3,Frase,
"Codesta non è una pera giapponese, è una pesca.",Sore wa nashi dewa arimasen. Momo desu.,それはなしではありません。ももです。,Speciale,S3,Frase,
"Quello non è un crisantemo, è un giglio.",Are wa kiku dewa arimasen. Yuri desu.,あれはきくではありません。ゆりです。,Speciale,S3,Frase,
Corna,Tsuno,つの,A,A3,Creature,
Orco,Oni,おに,A,A3,Creature,
Mucca,Ushi,うし,A,A3,Creature,
Montagna,Yama,やま,A,A3,Paesaggio,
Cielo,Sora,そら,A,A3,Paesaggio,
Gru,Tsuru,つる,A,A3,Creature,
Corda,Himo,ひも,A,A3,Oggetti,
Neve,Yuki,ゆき,A,A3,Paesaggio,
Bianco,Shiro,しろ,A,A3,Colori,
Nero,Kuro,くろ,A,A3,Colori,
Luna,Tsuki,つき,A,A3,Paesaggio,
Stelle,Hoshi,ほし,A,A3,Paesaggio,
Sera,Yoru,よる,A,A3,Paesaggio,
Giorno,Hiru,ひる,A,A3,Paesaggio,
Mare,Umi,うみ,A,A3,Paesaggio,
Nuvola,Kumo,くも,A,A3,Paesaggio,
Melanzana,Nasu,なす,A,A3,Cibo,
Fagiolo,Mame,まめ,A,A3,Cibo,
Granchio,Kani,かに,A,A3,Creature,
Tartaruga,Kame,かめ,A,A3,Creature,
Questo è un orco,Kore wa oni desu,これはおにです,A,A3,Frase,
Codesto è un orco,Sore wa oni desu,それはおにです,A,A3,Frase,
Quello è un orco,Are wa oni desu,あれはおにです,A,A3,Frase,
Questa è una mucca,Kore wa ushi desu,これはうしです,A,A3,Frase,
Codesta è una mucca,Sore wa ushi desu,それはうしです,A,A3,Frase,
Quella è una mucca,Are wa ushi desu,あれはうしです,A,A3,Frase,
Questo è un corno,Kore wa tsuno desu,これはつのです,A,A3,Frase,
Codesto è un corno,Sore wa tsuno desu,それはつのです,A,A3,Frase,
Quello è un corno,Are wa tsuno desu,あれはやまです,A,A3,Frase,
Quello è il cielo,Are wa sora desu,あれはそらです,A,A3,Frase,
Questa è una gru,Kore wa tsuru desu,これはつるです,A,A3,Frase,
Codesta è una gru,Sore wa tsuru desu,それはつるです,A,A3,Frase,
Quella è una gru,Are wa tsuru desu,あれはつるです,A,A3,Frase,
Questa è una corda,Kore wa himo desu,これはひもです,A,A3,Frase,
Codesta è una corda,Sore wa himo desu,それはひもです,A,A3,Frase,
Questa è la neve,Kore wa yuki desu,これはゆきです,A,A3,Frase,
Codesta è la neve,Sore wa yuki desu,それはゆきです,A,A3,Frase,
Quella è la luna,Are wa tsuki desu,あれはつきです,A,A3,Frase,
Quella è una stella,Are wa hoshi desu,あれはほしです,A,A3,Frase,
Quello è il mare,Are wa umi desu,あれはうみです,A,A3,Frase,
Quella è una nuvola,Are wa kumo desu,あれはくもです,A,A3,Frase,
Questa è una melanzana,Kore wa nasu desu,これはなすです,A,A3,Frase,
Codesta è una melanzana,Sore wa nasu desu,それはなすです,A,A3,Frase,
Questo è un fagiolo,Kore wa mame desu,これはまめです,A,A3,Frase,
Codesto è un fagiolo,Sore wa mame desu,それはまめです,A,A3,Frase,
Questo è un granchio,Kore wa kani desu,これはかにです,A,A3,Frase,
Codesto è un granchio,Sore wa kani desu,それはかにです,A,A3,Frase,
Questa è una tartaruga,Kore wa kame desu,これはかめです,A,A3,Frase,
Codesta è una tartaruga,Sore wa kame desu,それはかめです,A,A3,Frase,
Pescecane,Same,さめ,A,A4,Creature,
Scimmia,Saru,さる,A,A4,Creature,
Cicala,Semi,せみ,A,A4,Creature,
Ape,Hachi,はち,A,A4,Creature,
Tigre,Tora,とら,A,A4,Creature,
Scoiattolo,Risu,りす,A,A4,Creature,
Pasta di riso,Mochi,もち,A,A4,Cibo,
Ascia,Ono,おの,A,A4,Oggetti,
Palla,Mari,まり,A,A4,Oggetti,
Tetto,Yane,やね,A,A4,Casa,
Insetto,Mushi,むし,A,A4,Creature,
Aquila,Washi,わし,A,A4,Creature,
Pioggia,Ame,あめ,A,A4,Paesaggio,
Fiume,Kawa,かわ,A,A4,Paesaggio,
Ragno,Kumo,くも,A,A4,Creature,
Vapore,Yuge,ゆげ,A,A4,Paesaggio,
Semi,Tane,たね,A,A4,Piante,
Formica,Ari,あり,A,A4,Creature,
Seppia,Ika,いか,A,A4,Creature,
Conchiglia,Kai,かい,A,A4,Creature,
Codesto è un pescecane,Sore wa same desu,それはさめです,A,A4,Frase,
"Quello non è un pescecane, quella è una scimmia.",Are wa same dewa arimasen. Are wa saru desu.,あれはさめではありません。あれはさるです。,A,A4,Frase,
Questa è una cicala,Kore wa semi desu,これはせみです,A,A4,Frase,
Codesta è una cicala,Sore wa semi desu,それはせみです,A,A4,Frase,
"Questa non è una cicala, è un'ape.",Kore wa semi dewa arimasen. Hachi desu.,これはせみではありません。はちです。,A,A4,Frase,
Quella è una tigre,Are wa tora desu,あれはとらです,A,A4,Frase,
"Quella non è una scimmia, quella è una tigre.",Are wa saru dewa arimasen. Are wa tora desu.,あれはさるではありません。あれはとらです。,A,A4,Frase,
Questo è uno scoiattolo,Kore wa risu desu,これはりすです,A,A4,Frase,
Codesto è uno scoiattolo,Sore wa risu desu,それはりすです,A,A4,Frase,
Questa è la pasta di riso,Kore wa mochi desu,これはもちです,A,A4,Frase,
Codesta è un'ascia,Sore wa ono desu,それはおのです,A,A4,Frase,
Codesta è una palla,Sore wa mari desu,それはまりです,A,A4,Frase,
Quello è il tetto,Are wa yane desu,あれはやねです,A,A4,Frase,
Questo è un insetto,Kore wa mushi desu,これはむしです,A,A4,Frase,
Quella è un'aquila,Are wa washi desu,あれはわしです,A,A4,Frase,
Quello è un fiume,Are wa kawa desu,あれはかわです,A,A4,Frase,
"Questa non è un'ape, è un ragno.",Kore wa hachi dewa arimasen. Kumo desu.,これははちではありません。くもです。,A,A4,Frase,
Codesto è vapore,Sore wa yuge desu,それはゆげです,A,A4,Frase,
Questi sono semi,Kore wa tane desu,これはたねです,A,A4,Frase,
"Questo non è un ragno, questa è una formica.",Kore wa kumo dewa arimasen. Kore wa ari desu.,これはくもではありません。これはありです。,A,A4,Frase,
Codesta è una seppia,Sore wa ika desu,それはいかです,A,A4,Frase,
Questa è una conchiglia,Kore wa kai desu,これはかいです,A,A4,Frase,
Codesta è una conchiglia,Sore wa kai desu,それはかいです,A,A4,Frase,
Questo è un libro?,Kore wa hon desu ka,これはほんですか。,Speciale,S4,Frase,
Questa è una caramella?,Kore wa ame desu ka,これはあめですか。,Speciale,S4,Frase,
Codesto è un ragno?,Sore wa kumo desu ka,それはくもですか。,Speciale,S4,Frase,
Quella è un'aquila?,Are wa washi desu ka,あれはわしですか。,Speciale,S4,Frase,
Queste sono delle formiche?,Korera wa ari desu ka,これはありですか。,Speciale,S4,Frase,
"Questo è un libro?
Sì, questo è un libro.","Kore wa hon desu ka.
Hai, kore wa hon desu.","これはほんですか。
はい、これはほんです。",Speciale,S4,Frase,
"Codesto è un ragno?
Sì, è un ragno.","Sore wa kumo desu ka.
Hai, kumo desu.","それはくもですか。
はい、くもです。",Speciale,S4,Frase,
"Quella è un'aquila?
Sì, quella è un'aquila.","Are wa washi desu ka.
Hai, are wa washi desu.","あれはわしですか。
はい、あれはわしです。",Speciale,S4,Frase,
"Questo è un ragno?
No, questa è una formica.","Kore wa kumo desu ka.
Iie, kore wa ari desu.","これはくもですか。
いいえ、これはありです。",Speciale,S4,Frase,
"Questo è un ragno?
No, questo non è un ragno. Questa è una formica.","Kore wa kumo desu ka.
Iie, kore wa kumo dewa arimasen. Kore wa ari desu.","これはくもですか。
いいえ、これはくもではありません。これはありです。",Speciale,S4,Frase,
Questo che cos'è?,Kore wa nan desu ka,これはなんですか,Speciale,S4,Frase,
Codesto che cos'è?,Sore wa nan desu ka,それはなんですか,Speciale,S4,Frase,
Quello che cos'è?,Are wa nan desu ka,あれはなんですか,Speciale,S4,Frase,
"Questo che cos'è?
Questo è un ragno.","Kore wa nan desu ka.
Kore wa kumo desu.","これはなんですか。
これはくもです。",Speciale,S4,Frase,
"Codesto che cos'è?
Codesto è un libro.","Sore wa nan desu ka.
Sore wa hon desu.","それはなんですか。
それはほんです。",Speciale,S4,Frase,
"Quella che cos'è?
Quella è un'aquila.","Are wa nan desu ka.
Are wa washi desu.","あれはなんですか。
あれはわしです。",Speciale,S4,Frase,
"Questo che cos'è?
Questo è un cane.
Anche questo è un cane?
Sì, anche questo è un cane.","Kore wa nan desu ka.
Kore wa inu desu.
Kore mo inu desu ka.
Hai, kore mo inu desu.","これはなんですか。
これはいぬです。
これもいぬですか。
はい、これもいぬです。",Speciale,S4,Frase,
"Questo che cos'è?
Questo è un cane.
Anche questo è un cane?
No, questo è un gatto.","Kore wa nan desu ka.
Kore wa inu desu.
Kore mo inu desu ka.
Iie, kore wa neko desu.","これはなんですか。
これはいぬです。
これもいぬですか。
いいえ、これはねこです。",Speciale,S4,Frase,
"Codesta che cos'è?
Codesta è una mucca.
Anche codesta è una mucca?
Sì, anche quella è una mucca.
Anche quella è una mucca?
No, quello è un cavallo.","Sore wa nan desu ka.
Sore wa ushi desu.
Sore mo ushi desu ka.
Hai, sore mo ushi desu.
Are mo ushi desu ka.
Iie, are wa uma desu.","それはなんですか。
それはうしです。
それもうしですか。
はい、それもうしです。
あれもうしですか。
いいえ、あれはうまです。",Speciale,S4,Frase,
"Questa è una caramella?
Sì, questa è una caramella.","Kore wa ame desu ka.
Hai, kore wa ame desu.","これはあめですか。
はい、これはあめです。",Speciale,S4,Frase,
"Questi sono gli occhi?
No, queste sono le mani.","Kore wa me desu ka.
Iie, kore wa te desu.","これはめですか。
いいえ、これはてです。",Speciale,S4,Frase,
"Codesto è un cane?
Sì, codesto è un cane.","Sore wa inu desu ka.
Hai, sore wa inu desu.","それはいぬですか。
はい、それはいぬです。",Speciale,S4,Frase,
"Codesto è un gatto?
No, codesto è un cane.","Sore wa neko desu ka.
Iie, sore wa inu desu.","それはねこですか。
いいえ、それはいぬです。",Speciale,S4,Frase,
"Codesto è un gatto?
No, codesto non è un gatto. Codesto è un cane.","Sore wa neko desu ka.
Iie, sore wa neko dewa arimasen. Sore wa inu desu.","それはねこですか。
いいえ、それはねこではありません。それはいぬです。",Speciale,S4,Frase,
"Questo che cos'è?
Questo è un ombrello.","Kore wa nan desu ka.
Kore wa kasa desu.","これはなんですか。
これはかさです。",Speciale,S4,Frase,
"Quella che cos'è?
Quella è un'aquila.
Anche quella è un'aquila?
No, quello è un piccione.","Are wa nan desu ka.
Are wa washi desu.
Are mo washi desu ka.
Iie, are wa hato desu.","あれはなんですか。
あれはわしです。
あれもわしですか。
いいえ、あれははとです。",Speciale,S4,Frase,
"Questa che cos'è?
Questa è una caramella.
Anche codesta è una caramella?
No, codesta è una castagna.","Kore wa nan desu ka.
Kore wa ame desu.
Sore mo ame desu ka.
Iie, sore wa kuri desu.","これはなんですか。
これはあめです。
それもあめですか。
いいえ、それはくりです。",Speciale,S4,Frase,
"Questo è un libro?
Sì, codesto è un libro.","Kore wa hon desu ka.
Hai, sore wa hon desu.","これはほんですか。
はい、それはほんです。",Speciale,S4,Frase,
"Codesto è un libro?
Sì, questo è un libro.","Sore wa hon desu ka.
Hai, kore wa hon desu.","それはほんですか。
はい、これはほんです。",Speciale,S4,Frase,
"Questa è una castagna?
No, codesta è una caramella.","Kore wa kuri desu ka.
Iie, sore wa ame desu.","これはくりですか。
いいえ、それはあめです。",Speciale,S4,Frase,
